Date,Open,High,Low,Close,Volume,MACD,ADX,AO,ATR,OBV,MFI
07/02/2017 00:00:00,2496.6,2534.4,2494.3,2507.9,228,17.94604422150678,19.779041319011572,-21.021764705883015,195.81560794643846,14783,76.6214655258245
07/03/2017 00:00:00,2508.1,2584.6,2471.4,2546.9,1931,16.638734558459873,18.913554995595796,-4.30294117647145,189.9144930931214,16714,76.36595232986434
07/04/2017 00:00:00,2546.6,2637.4,2543.9,2602,1938,19.820315482756996,17.744508626555703,5.461470588234533,183.02774358646985,18652,77.73442416844061
07/05/2017 00:00:00,2602,2629.2,2537.5,2614.7,1697,23.100239962103387,16.701872072226063,8.832058823528769,176.5043333302934,20349,70.65946812561324
07/06/2017 00:00:00,2612.3,2621.6,2578.4,2603.7,1955,24.529237887948966,15.733709557491396,13.115588235293217,166.9825952352724,18394,69.78518327775042
07/07/2017 00:00:00,2603.5,2608.5,2486.7,2514.9,1449,18.2855269992192,15.4774584721377,10.233235294117094,163.75526700418155,16945,70.89594792103684
07/09/2017 00:00:00,2527.1,2539.2,2497.1,2500.2,206,12.012699072160103,15.23951103573784,-0.21323529411802156,155.06560507531142,16739,66.95477969269531
07/10/2017 00:00:00,2499.8,2523,2256.4,2330.7,1990,-6.560174079491844,16.40212832325542,-44.759117647059156,163.03234756993203,14749,58.47554406477089
07/11/2017 00:00:00,2330.6,2408.4,2254.1,2329.4,2089,-21.140514308512138,17.492774904503086,-93.54529411764679,162.40860845779406,12660,54.50049159646117
07/12/2017 00:00:00,2300.9,2413,2241.8,2382.4,2534,-28.095020022889912,18.568328736336703,-145.51235294117532,163.03656499652305,15194,64.46452713231014
07/13/2017 00:00:00,2381.4,2417.5,2307.1,2339.4,2181,-36.65373509799656,19.519292721066176,-177.9679411764705,159.27681035391427,13013,63.38820417555227
07/14/2017 00:00:00,2339.5,2352.1,2150.3,2157.9,2029,-57.4202071927607,21.1768122241022,-221.87411764705803,162.31418104292038,10984,55.15632932946121
07/16/2017 00:00:00,1865.2,1938.4,1854.8,1905.4,285,-93.17832399415465,23.71486894858715,-293.786764705882,172.3703109684261,10699,49.55136274198567
07/17/2017 00:00:00,1906.4,2230.1,1904.4,2224.2,2160,-94.70074229730744,23.76487106932064,-326.63970588235225,183.32243161353853,12859,57.35530914281247
07/18/2017 00:00:00,2221.4,2393.8,2144,2307.4,2820,-88.17727239468013,22.82706507565782,-325.21470588235206,188.07082935542866,15679,61.49901427558555
07/19/2017 00:00:00,2348.4,2394.4,2216,2259,2496,-85.92239116162818,21.952792043138093,-321.3905882352942,187.3800558300409,13183,62.016336405589946
07/20/2017 00:00:00,2259,2773,2257,2740,2062,-44.806203401697076,21.43702752408672,-256.5144117647051,210.852908985038,15245,62.20951193270634
07/21/2017 00:00:00,2634.6,2650.4,2612.8,2625,116,-21.255843152159287,20.958103327824734,-107.11000000000013,204.87770120039244,15129,67.18402937727579
07/23/2017 00:00:00,2784.8,2792,2720.4,2755.6,284,7.855759244511773,21.06360760825237,29.269705882353264,202.17215111465012,15413,64.52294783240727
07/24/2017 00:00:00,2754.6,2801.9,2719.7,2758.6,1927,30.8137866579209,21.199006563125554,121.99823529411742,193.602711749318,17340,72.3077907860285
07/25/2017 00:00:00,2758.8,2777.3,2449.8,2561.6,2315,32.73459119369227,19.870980425883545,173.6402941176475,203.16680376722385,15025,65.70983198418193
07/26/2017 00:00:00,2561.3,2609.4,2402.6,2525.1,2088,30.954770346291753,18.486999188360794,169.06382352941182,203.42631778385072,12937,65.13691820272282
07/27/2017 00:00:00,2525.7,2686.2,2510.7,2664.9,1979,40.35969964993728,17.49224696408445,159.26764705882306,201.43158079928997,14916,73.29409413481443
07/28/2017 00:00:00,2665.2,2833,2655.4,2754.3,2279,54.39991833911927,17.20827023032781,150.70000000000027,199.72932502791213,17195,73.4323301208688
07/31/2017 00:00:00,2759.5,2906.3,2678.2,2861,3450,73.29182849914378,17.24131919344479,153.62676470588258,201.7558018116327,20645,75.2764283929852
08/01/2017 00:00:00,2868.5,2923.9,2637.9,2729.2,3130,76.7439879863523,17.039562168530978,183.97176470588238,207.77324453937322,17515,70.82352086581663
08/02/2017 00:00:00,2729.2,2757,2648.9,2699.9,2644,76.23677404628643,16.852216359682433,222.19117647058874,200.65372707227513,14871,64.72568846632538
08/03/2017 00:00:00,2699.9,2803.6,2698.3,2789.3,2149,82.10221299300065,16.896865027851145,251.1661764705891,193.84274656711258,17020,65.34081261775712
08/04/2017 00:00:00,2789.3,2877.1,2761.3,2832,1842,89.1682724185689,17.275872446253913,255.51911764705937,188.26826466946164,18862,64.78416446361541
08/06/2017 00:00:00,3264.6,3273.5,3212.6,3229.4,222,125.3896207158823,19.014744240533084,321.0100000000007,206.3562457645001,19084,62.33413881342778
08/07/2017 00:00:00,3229.4,3422.6,3190.9,3393.8,2329,165.45375831957926,21.01228767883813,400.02411764705903,208.16651392417864,21413,63.56612335722181
08/08/2017 00:00:00,3396.8,3486.6,3346,3422.6,2557,197.25496290003048,23.021343223782377,516.5926470588238,203.34033435816588,23970,67.28343834204216
08/09/2017 00:00:00,3422.7,3433.7,3236.7,3344,2942,213.65243129895907,24.144756004446293,610.2632352941182,202.88745333258262,21028,59.79987204071327
08/10/2017 00:00:00,3356.3,3460.2,3315.1,3434.1,2175,231.2521295454253,25.26608556637427,698.2929411764708,198.759778094541,23203,60.692641740409975
08/11/2017 00:00:00,3481.5,3588.3,3457.9,3587.9,1428,254.67466088330684,26.672936725809908,724.633823529412,195.5769368020738,24631,66.76399982134156
08/13/2017 00:00:00,4010.1,4124.4,4002.2,4060.5,358,307.8236565368229,29.069008586846913,830.7879411764702,219.9285841733542,24989,71.23917339998358
08/14/2017 00:00:00,4060.5,4340.6,3978,4320.6,2488,366.7053635982752,31.599257908726177,933.2511764705887,230.11939958954324,27477,72.8534056193368
08/15/2017 00:00:00,4320.5,4449.9,3807.5,4159.9,2846,395.8394034487201,32.96623804123298,1046.4997058823528,259.5680139045758,24631,62.55877336228903
08/16/2017 00:00:00,4159.9,4390.9,4111.8,4380.4,562,431.74397138341374,34.23557673570358,1170.670588235294,260.96315576853465,25193,59.606866645228315
08/17/2017 00:00:00,4380.2,4476.3,4179.3,4335.7,1652,451.3883596925507,35.57726289560518,1279.2517647058826,263.53721607078216,23541,68.44059279393805
08/18/2017 00:00:00,4280,4309.9,4189.6,4300.4,579,458.8192809069169,36.82311432979952,1265.6123529411766,255.14884349429767,22962,72.14235338156034
08/20/2017 00:00:00,4117.8,4149,4042.3,4063.4,309,440.5065350673817,37.05298512423044,1202.707352941176,255.35964038756205,22653,69.00380580572455
08/21/2017 00:00:00,4063.4,4102.4,3964.1,3996.6,1733,415.8101497507387,36.80383131476741,1133.558529411765,246.99823750273617,20920,61.3143279747726
08/22/2017 00:00:00,3774.8,4141.3,3770.6,4092,2198,399.3328091208814,35.525745795906815,1026.5799999999995,255.83407768111218,23118,55.121907048304095
08/23/2017 00:00:00,4092,4259.9,4003.3,4144.3,2173,386.0444902898439,34.730089465255496,935.3017647058814,255.88878641817556,25291,55.71106274241297
08/24/2017 00:00:00,4144.4,4358.5,4111.8,4312.1,2078,384.6198018576647,34.29919211659739,874.0302941176469,255.23244453116303,27369,55.76497577625411
08/25/2017 00:00:00,4312,4453,4284.4,4329,1744,380.46860947510095,34.182120664427146,855.9314705882352,249.04441277893713,29113,65.509792997454
08/27/2017 00:00:00,4359.6,4363.1,4327.1,4329.1,218,372.888403369388,34.07341145884049,851.3058823529414,233.82695472329877,29331,61.74287295904616
08/28/2017 00:00:00,4338.5,4396,4185.7,4385.6,2079,367.2071774646902,33.13898493075793,858.8167647058826,232.14645795734887,31410,53.25164190567893
08/29/2017 00:00:00,4385.5,4641.7,4345.8,4590.9,2039,374.9485853460278,33.06892001953046,866.8776470588232,236.7002823889668,33449,57.040529260239296
08/30/2017 00:00:00,4592.2,4636.9,4495.3,4581.1,1722,375.95910621777693,33.00385974481923,872.7411764705871,229.90740507546914,31727,55.8386226953515
08/31/2017 00:00:00,4581,4766.5,4576.2,4737.1,1550,384.91083503504115,33.329079136438224,873.2785294117643,227.07830471293565,33277,66.86277383885117
09/04/2017 00:00:00,4626,4628.2,4157.9,4344.1,2398,356.1874221706753,31.502113136324738,834.725882352941,252.22985437629745,30879,58.79454150360104
09/05/2017 00:00:00,4344.1,4524.3,4029.4,4432.5,2736,336.6760597023467,29.290841175609945,787.3361764705865,269.5634362065619,33615,49.037533905764796
09/06/2017 00:00:00,4432.5,4681.3,4419.2,4616.2,2848,332.20674654679215,27.812157848637753,741.6744117647049,269.03033362037894,36463,56.036179656839394
09/07/2017 00:00:00,4616.2,4690,4479.2,4624.2,3090,325.5574926893423,26.47046202910402,684.2391176470574,264.8710240760662,39553,61.59550060643409
09/08/2017 00:00:00,4624.2,4692.4,4139.4,4247.4,2392,286.5797867589836,25.24394716657033,579.6947058823516,285.45166521349,37161,59.9374165102353
09/10/2017 00:00:00,4289,4324.9,4235.1,4251.4,231,253.09491987042293,24.10504050850333,511.91411764705754,271.47654626966926,37392,63.814050112011074
09/11/2017 00:00:00,4251.4,4378.5,4110.1,4214.4,3732,221.02449800764316,23.4810213302468,462.69676470588183,271.25679296469286,33660,53.35765510415971
09/12/2017 00:00:00,4214.4,4384.9,4078.7,4159.9,2356,189.03172306663146,23.0090626103346,356.333235294117,273.75273632435767,31304,46.03321287331577
09/13/2017 00:00:00,4159.7,4171.5,3732,3855.4,2607,137.52135269328483,23.607096851279973,193.0338235294107,285.59182658690355,28697,39.32472966111192
09/14/2017 00:00:00,3855.4,3925.3,3212.6,3249.2,3192,47.23919524757639,25.239294370997925,-0.41500000000132786,316.09955325926757,25505,36.51282125241027
09/15/2017 00:00:00,3328.6,3837.3,2972.6,3720,2991,13.523667958231727,27.13183088281819,-192.6529411764718,355.28529945503425,28496,43.475915444986285
09/17/2017 00:00:00,3747.5,3775.1,3699.5,3712.1,270,-13.67594650445426,28.88918621522272,-308.58970588235434,335.30777806538896,28226,40.02368834846692
09/18/2017 00:00:00,3712.4,4121,3702.6,4094.8,3526,-4.301559584855113,28.98807983407635,-390.3852941176483,341.242936775004,31752,42.6385075040521
09/19/2017 00:00:00,4011.9,4049,3850.4,3902.6,2484,-12.240127558561198,29.079909623011865,-406.48352941176563,334.32558414821807,29268,36.81708041334191
09/20/2017 00:00:00,3901.2,4042.9,3832,3866.7,2241,-21.18413235210801,29.20826245894427,-350.4967647058834,325.50947099477395,27027,37.26566722306194
09/21/2017 00:00:00,3866.4,3904.7,3571.8,3623.3,2494,-47.366653117968326,29.902165434826653,-294.14852941176514,326.0373659237186,24533,37.9673862852487
09/22/2017 00:00:00,3652.5,3761,3509.6,3614.4,1099,-68.05020467962004,30.67343112299042,-317.8485294117645,320.7061255005959,23434,30.58236239440984
09/24/2017 00:00:00,3669.7,3695.3,3662.2,3669,167,-79.12420998086145,31.389606404856774,-353.1482352941166,303.57711653626757,23601,22.467753655509085
09/25/2017 00:00:00,3669,3960.3,3666.7,3919.2,1066,-66.93975020284961,30.791458180406487,-370.21764705882333,302.8644653551056,24667,27.491353064639853
09/26/2017 00:00:00,3919.3,3964.6,3849.8,3881.4,2155,-59.646059491269625,30.216778131593394,-369.75294117647036,289.43128925831235,22512,32.912391380868854
09/27/2017 00:00:00,3882.3,4229.4,3872,4200,1934,-27.836517657510285,28.570572666566253,-301.36147058823644,294.28619716843286,24446,42.52050057861495
09/28/2017 00:00:00,4200,4275.5,4124.3,4186.8,2281,-3.650278127841375,26.86406359979959,-184.67970588235266,284.0657545135448,22165,51.42130639986345
09/29/2017 00:00:00,4186.5,4218.7,4014.5,4169.5,1453,13.960596468085441,25.66245451101767,-93.1935294117643,278.3610577625773,20712,53.48477117245804
10/02/2017 00:00:00,4386.7,4469,4359.8,4397.2,1044,45.763297687480645,24.06592992468178,17.611470588235534,279.8709822081075,21756,61.65943781269926
10/03/2017 00:00:00,4385.8,4425.1,4236.1,4310.1,1045,63.21027673187882,22.558083205099997,93.54588235294068,273.3801977646712,20711,54.29764557181882
10/04/2017 00:00:00,4310,4346.8,4181.9,4219.3,1592,68.91591243068797,21.350835827137747,127.20529411764619,265.63161221005186,19119,50.09187085290885
10/05/2017 00:00:00,4214.9,4360.3,4144.5,4315.3,1435,80.25889296473315,20.366352238563884,134.152352941177,262.0722113379053,20554,45.74387105111548
10/06/2017 00:00:00,4315.4,4415.9,4293,4338.2,1288,90.05799289351808,19.21079281455625,178.21352941176428,252.13133909948345,21842,54.45219777568507
10/08/2017 00:00:00,4583,4613.6,4567.8,4598.2,206,117.44978921500388,18.33859623002414,206.9441176470582,253.79338630666325,22048,61.093177721162796
10/09/2017 00:00:00,4598.1,4870,4554.8,4772.2,1976,151.45248104277744,18.395087761079434,272.5011764705887,258.1795729990444,24024,72.90480239432148
10/10/2017 00:00:00,4770.3,4926.5,4707.5,4748.3,1944,174.46025975635712,18.620963405301005,367.55617647058807,255.38103207054124,22080,79.38246204953965
10/11/2017 00:00:00,4748.2,4874.9,4714.1,4818.5,1791,196.0981461016827,18.830705074935317,467.13058823529354,248.62524406550253,23871,81.17541341121706
10/12/2017 00:00:00,4818.2,5437.2,4810.5,5434.4,2459,259.94779328275945,20.46736989542156,604.6061764705873,275.63058377510947,26330,82.81297632949754
10/13/2017 00:00:00,5435.5,5865.5,5387,5613,2150,321.2573710652805,22.71241973540463,783.6308823529425,290.1212563626017,28480,83.4203617232346
10/15/2017 00:00:00,5524.6,5737.2,5493,5693.7,203,372.06849472890553,24.797108872531766,928.2282352941174,286.84116662241587,28683,82.26658450582686
10/16/2017 00:00:00,5693.7,5785.3,5574.8,5751.4,2400,412.2405318473702,26.809161102782245,1059.5676470588242,281.3882261493862,31083,82.9854086376437
10/17/2017 00:00:00,5751.6,5769.3,5522.6,5594.5,1840,426.50021298750744,28.401202668993843,1197.6311764705888,278.9104957101443,29243,79.57896472671611
10/18/2017 00:00:00,5594.8,5600,5106.7,5574,2193,431.17659891795665,27.980775861067308,1220.9208823529425,294.22403173084825,27050,70.3877894197046
10/19/2017 00:00:00,5574,5738.9,5517.8,5702.8,1952,440.2013844883322,27.923897296664865,1185.6805882352937,289.00088660721616,29002,75.7707868305891
10/20/2017 00:00:00,5703,6064,5614,5973.2,1719,463.8259158099845,28.556908937224136,1184.6076470588223,300.50082327812925,30721,81.92373443514145
10/22/2017 00:00:00,5881.6,6029.9,5871.8,5996.6,195,478.9160652407945,29.1447054606006,1188.5749999999998,290.32933590112,30916,81.16362550441558
10/23/2017 00:00:00,5996.6,6056.8,5647.7,5905.7,2728,478.0298169003663,28.758763947273426,1182.174705882352,298.81295476532574,28188,70.23461255893353
10/24/2017 00:00:00,5905.7,5906.3,5464.3,5521.2,3949,441.2154648741007,27.715110178861238,1197.5779411764706,309.04060085351676,24239,59.62622316502019
10/25/2017 00:00:00,5521.2,5758.7,5373.4,5737.7,3041,424.61487038202176,26.421993745446024,1126.379705882353,314.48770079255127,27280,50.76185594776711
10/26/2017 00:00:00,5737,5984.9,5692.2,5890.1,2223,418.92705566165205,25.84263764863067,1054.713235294118,312.93143645022616,29503,51.89047114020086
10/27/2017 00:00:00,5890,5995,5689.6,5750.9,1865,398.59241956265396,25.331543934016633,971.091470588236,312.3934767037814,27638,45.92142074347439
10/29/2017 00:00:00,6176.7,6219,6103.2,6133.4,210,408.63118137041783,25.432659694985407,966.7055882352952,323.5153712249399,27848,41.807532187004725
10/30/2017 00:00:00,6133.2,6215,6027,6123.8,1859,411.07373057740733,25.209319353342664,989.9838235294128,313.8357018517299,25989,34.01309555476466
10/31/2017 00:00:00,6123.7,6466.4,6085.6,6445,1893,433.925599835562,25.616351486540744,1063.1929411764713,318.61886600517767,27882,38.42589221043258
11/01/2017 00:00:00,6445,6757.8,6362.7,6741.6,2160,470.54486378613274,26.593543083444285,1124.5329411764706,324.081804147665,30042,38.65726801144012
11/02/2017 00:00:00,6741.6,7390.9,6732.9,7025.9,2441,516.5520379492737,28.460219220690636,1267.6705882352944,347.93310385140325,32483,47.24280961590665
11/03/2017 00:00:00,7026,7449,6933.1,7228,2259,562.8328491830816,30.265812575300338,1370.357647058824,359.93073929058875,34742,55.40983278254288
11/05/2017 00:00:00,7353,7443.1,7303.6,7380.5,172,604.8439366262864,31.94243497600934,1516.1261764705878,349.5856864841181,34914,52.75757141401205
11/06/2017 00:00:00,7382,7423.7,6925.4,6953.5,3054,596.8031198182416,31.97209776274923,1599.7376470588251,360.2081374495383,31860,43.52980635516731
11/07/2017 00:00:00,6960.1,7226,6958.6,7122.8,2873,597.2075725205632,31.999641779007696,1616.6888235294118,353.94327048885697,34733,49.10190604091277
11/08/2017 00:00:00,7122.8,7882.2,7034.8,7457,2975,617.3784961759939,33.08168714791774,1600.1676470588236,389.1901797396528,37708,58.62366940158479
11/09/2017 00:00:00,7458.4,7470.2,7053.9,7150.1,2630,601.6642227302373,34.08644356190563,1521.8544117647061,391.1265954725348,35078,59.58150232802407
11/10/2017 00:00:00,7150.1,7345.2,6413.7,6580.3,2200,537.0417666376325,32.93477968668788,1350.5729411764714,429.7246957959252,32878,60.246503819457274
11/12/2017 00:00:00,5891.2,5891.9,5602.7,5843.5,224,421.5154347515454,31.09358525562295,1023.4552941176471,468.8586460962163,32654,57.0109082038483
11/13/2017 00:00:00,5844.2,6812.5,5801.3,6528.8,3385,380.86756293479175,29.942356428881784,806.3002941176483,507.59731423220086,36039,64.94972107037071
11/14/2017 00:00:00,6530,6748,6477,6603.1,3148,350.6076341560274,28.87335823262213,567.6855882352938,490.6975060727579,39187,68.14123149115395
11/15/2017 00:00:00,6603,7344.1,6602.9,7277.4,2300,376.6944975441065,28.696259439609925,432.94470588235436,508.5905413532752,41487,74.04392023172558
11/16/2017 00:00:00,7274.4,7985.4,7114.7,7838.6,2185,437.60819965677183,29.23966836403502,480.02500000000146,534.4555026851841,43672,74.59102462123988
11/17/2017 00:00:00,7838.6,7996.4,7532.4,7697.3,2031,469.07382724183026,29.755549463484336,793.6802941176484,529.4229667790995,41641,74.75151408123043
11/19/2017 00:00:00,8017.6,8049.9,7950,8031.8,139,515.0645744695339,30.29279792422229,1038.6741176470578,516.7927548663066,41780,72.80945085468397
11/20/2017 00:00:00,8031.8,8299.3,7943.2,8237.3,1520,561.6206918192211,31.06272769676918,1242.578529411764,505.3147009472847,43300,72.29719751238214
11/21/2017 00:00:00,8237.4,8374,7797.5,8096.9,1782,580.4960465311506,31.408177457944884,1377.913823529413,510.3993651653358,41518,67.36727321664027
11/22/2017 00:00:00,8096.8,8303,8061,8237.4,1638,599.8770674988309,31.72895223617946,1429.134705882353,491.22798193924035,43156,76.39947658542587
11/23/2017 00:00:00,8237.6,8268.4,8009.4,8019.3,1755,590.8271315903321,31.882788679822074,1429.8052941176475,474.64026894358034,41401,68.71884426066036
11/24/2017 00:00:00,8019.3,8327.4,7872.3,8249,1576,595.3272999629862,31.636176013578336,1378.6147058823526,473.2445354476103,42977,67.21795315257006
11/26/2017 00:00:00,9449.5,9449.5,9276,9317.9,112,677.337092278166,32.75751255704034,1517.5970588235296,525.1913543442096,43089,74.63665105361
11/27/2017 00:00:00,9317.5,9763,9309.7,9763,1897,769.3773900489969,34.07571079078061,1684.6876470588231,520.0562576053374,44986,83.3854295625852
11/28/2017 00:00:00,9740.9,9975.2,9624.7,9908.8,1555,844.3516701822791,35.477248194553596,1885.583529411766,507.94509634781326,46541,85.25076799268192
11/29/2017 00:00:00,9931.5,11433.3,8980.4,9788.7,2989,883.8893350139715,37.68400759256182,2170.7073529411737,646.8704466086838,43552,85.86901743373826
11/30/2017 00:00:00,9784.5,10810.7,9011.1,9920.7,4040,915.3232395400664,39.73314131928374,2416.445294117647,729.2082718509207,47592,69.04047192740543
12/01/2017 00:00:00,9916,10939.9,9372.8,10896.8,2982,1007.3854355130461,41.701628702622024,2448.5741176470574,789.0576810044264,50574,70.9705932449801
12/03/2017 00:00:00,10914.5,11300,10500.1,11220,226,1093.816096910532,43.70681442908072,2567.93911764706,789.832132361253,50800,69.11435620654227
12/04/2017 00:00:00,11219.8,11638.1,10927.1,11633.9,2588,1182.0849501773864,45.722637772124195,2696.3352941176454,784.2012657640206,53388,70.91636457412257
12/05/2017 00:00:00,11634.2,11864,11496.6,11718.3,2052,1244.5031691166332,47.69228038901392,2819.2091176470576,754.4297467808763,55440,73.48530985725714
12/06/2017 00:00:00,11718.3,13953.4,11700.6,13705.1,2590,1437.715127896765,50.144911416138925,3196.996764705882,861.4561934393851,58030,75.52408421389444
12/07/2017 00:00:00,13718.5,16784.3,13487.5,16341.6,2336,1783.0268890162788,52.836976206467455,3928.94205882353,1035.409322479429,60366,82.0600874773722
12/08/2017 00:00:00,16341.3,17021.2,13864.9,15640.4,304,1977.3147145199855,55.3613317052453,4563.364117647059,1186.9015137308984,60062,79.92286829501101
12/10/2017 00:00:00,14574.1,15912.6,14524.1,15065.6,277,2061.1480283531473,57.70537609696759,5087.503823529414,1201.3014056072627,59785,82.74290147078797
12/11/2017 00:00:00,15097,17424,15011.3,16749.7,1970,2237.684692714136,60.02813593121148,5710.932647058824,1287.8298766353157,61755,83.85011626392848
12/12/2017 00:00:00,16747.3,17596.3,16292.9,17145.7,1016,2382.085957467454,62.19951274641796,6243.784999999998,1288.9420283042216,62771,84.67096394080268
12/13/2017 00:00:00,17147,17619.9,15741.1,16358,1862,2405.2381055509086,63.30509980468439,6273.603529411765,1331.0747405682062,60909,75.96112262893746
12/14/2017 00:00:00,16354,17101,16029.3,16386.1,1881,2398.208727490357,64.33171635878894,6227.676470588236,1312.5479733847628,62790,68.12389559852228
12/15/2017 00:00:00,16491.6,17957.2,16359.4,17628.5,925,2464.480197927358,65.45645295829569,6322.026764705881,1332.9231181429943,63715,66.7796069578453
12/17/2017 00:00:00,18980,19510.2,18816.6,19024.6,193,2599.686846299055,66.74785932113599,6556.144411764708,1372.1214668470661,63908,76.18573498512804
12/18/2017 00:00:00,19025,19229.1,18117.9,18929,2459,2668.3657093105085,66.929991954415,6572.0714705882365,1353.4842192151325,61449,62.57591904424185
12/19/2017 00:00:00,18927.6,19001.9,16728.1,17585.2,2325,2584.567488486886,65.37588617243355,6497.120000000001,1419.2210606997662,59124,54.95149157659058
12/20/2017 00:00:00,17585.8,17835.3,15585.3,16443.4,3026,2398.3760905369018,62.77089134601801,6237.007352941175,1478.5624135069259,56098,43.95274001055192
12/21/2017 00:00:00,16454.7,17338.9,14852.9,15682,1831,2164.4292563534455,59.6910181078597,5720.156764705882,1550.5222411135744,54267,36.98556425245466
12/22/2017 00:00:00,15684.5,15825.1,10772.3,14233.6,288,1840.929836336738,56.596535113791944,4341.575588235295,1800.6849381768905,53979,30.402531167953626
